Comments,Surrounding Code Context,Class,Predicted Class
/*test 529*/,"-10.   int res = 0;
-9.   CURL *curl = NULL;
-8.   FILE *hd_src = NULL;
-7.   int hd;
-6.   struct_stat file_info;
-5.   CURLM *m = NULL;
-4.   int running;
-3.   start_test_timing();
-2.   if(!libtest_arg2) {
-1. #ifdef LIB529

/*test 529*/

1.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
2. #else",Not Useful,1
/*test 525*/,"-2.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
-1. #else

/*test 525*/

1.     fprintf(stderr, ""Usage: lib525 [url] [uploadfile]\n"");
2. #endif
3.     return TEST_ERR_USAGE;
4.   }
5.   hd_src = fopen(libtest_arg2, ""rb"");
6.   if(!hd_src) {
7.     fprintf(stderr, ""fopen failed with error: %d (%s)\n"",
8.             errno, strerror(errno));
9.     fprintf(stderr, ""Error opening file: (%s)\n"", libtest_arg2);
10.     return TEST_ERR_FOPEN;",Not Useful,1
/*done*/,"-10.   multi_add_handle(m, curl);
-9.   for(;;) {
-8.     struct timeval interval;
-7.     fd_set rd, wr, exc;
-6.     int maxfd = -99;
-5.     interval.tv_sec = 1;
-4.     interval.tv_usec = 0;
-3.     multi_perform(m, &running);
-2.     abort_on_test_timeout();
-1.     if(!running)

/*done*/

1.     FD_ZERO(&rd);
2.     FD_ZERO(&wr);
3.     FD_ZERO(&exc);
4.     multi_fdset(m, &rd, &wr, &exc, &maxfd);",Not Useful,0
/*test 529*/,"-10.   int res = 0;
-9.   CURL *curl = NULL;
-8.   FILE *hd_src = NULL;
-7.   int hd;
-6.   struct_stat file_info;
-5.   CURLM *m = NULL;
-4.   int running;
-3.   start_test_timing();
-2.   if(!libtest_arg2) {
-1. #ifdef LIB529

/*test 529*/

1.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
2. #else",Not Useful,0
/*test 525*/,"-2.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
-1. #else

/*test 525*/

1.     fprintf(stderr, ""Usage: lib525 [url] [uploadfile]\n"");
2. #endif
3.     return TEST_ERR_USAGE;
4.   }
5.   hd_src = fopen(libtest_arg2, ""rb"");
6.   if(!hd_src) {
7.     fprintf(stderr, ""fopen failed with error: %d (%s)\n"",
8.             errno, strerror(errno));
9.     fprintf(stderr, ""Error opening file: (%s)\n"", libtest_arg2);
10.     return TEST_ERR_FOPEN;",Not Useful,1
"/*argv1 = URL
 * argv2 = proxy
 * argv3 = non-zero means ASCII transfer*/","-9.  *
-8.  * You may opt to use, copy, modify, merge, publish, distribute and/or sell
-7.  * copies of the Software, and permit persons to whom the Software is
-6.  * furnished to do so, under the terms of the COPYING file.
-5.  *
-4.  * This software is distributed on an ""AS IS"" basis, WITHOUT WARRANTY OF ANY
-3.  * KIND, either express or implied.
-2.  *
-1.  ***************************************************************************/
/* argv1 = URL
 * argv2 = proxy
 * argv3 = non-zero means ASCII transfer

/*argv1 = URL
 * argv2 = proxy
 * argv3 = non-zero means ASCII transfer*/

1.  */
2. #include ""test.h""
3. #include ""memdebug.h""
4. int test(char *URL)
5. {
6.   CURLcode res;
7.   CURL *curl;
8.   if(curl_global_init(CURL_GLOBAL_ALL) != CURLE_OK) {
9.     fprintf(stderr, ""curl_global_init() failed\n"");
10.     return TEST_ERR_MAJOR_BAD;",Not Useful,0
/*enable ascii/text mode*/,"-10.   if(!curl) {
-9.     fprintf(stderr, ""curl_easy_init() failed\n"");
-8.     curl_global_cleanup();
-7.     return TEST_ERR_MAJOR_BAD;
-6.   }
-5.   test_setopt(curl, CURLOPT_PROXY, libtest_arg2);
-4.   test_setopt(curl, CURLOPT_URL, URL);
-3.   test_setopt(curl, CURLOPT_PROXY_TRANSFER_MODE, 1L);
-2.   test_setopt(curl, CURLOPT_VERBOSE, 1L);
-1.   if(libtest_arg3) {

/*enable ascii/text mode*/

1.     test_setopt(curl, CURLOPT_TRANSFERTEXT, 1L);
2.   }
3.   res = curl_easy_perform(curl);
4. test_cleanup:
5.   curl_easy_cleanup(curl);
6.   curl_global_cleanup();
7.   return (int)res;
8. }",Not Useful,1
/*100 ms*/,"-10.   multi_add_handle(mhandle, handle);
-9.   multi_perform(mhandle, &still_running);
-8.   abort_on_test_timeout();
-7.   while(still_running) {
-6.     struct timeval timeout;
-5.     fd_set fdread;
-4.     fd_set fdwrite;
-3.     fd_set fdexcep;
-2.     int maxfd = -99;
-1.     timeout.tv_sec = 0;

/*100 ms*/

1.     FD_ZERO(&fdread);
2.     FD_ZERO(&fdwrite);
3.     FD_ZERO(&fdexcep);
4.     multi_fdset(mhandle, &fdread, &fdwrite, &fdexcep, &maxfd);",Not Useful,1
/*on failure don't abort just issue a warning*/,"-10.    * point the resulting soft limit is our limit. Trying to
-9.    * open more than soft limit file descriptors will fail.
-8.    */
-7.   if(rl.rlim_cur != rl.rlim_max) {
-6. #ifdef OPEN_MAX
-5.     if((rl.rlim_cur > 0) &&
-4.         (rl.rlim_cur < OPEN_MAX)) {
-3.       fprintf(stderr, ""raising soft limit up to OPEN_MAX\n"");
-2.       rl.rlim_cur = OPEN_MAX;
-1.       if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {

/*on failure don't abort just issue a warning*/

1.         store_errmsg(""setrlimit() failed"", errno);
2.         fprintf(stderr, ""%s\n"", msgbuff);
3.         msgbuff[0] = '\0';
4.       }
5.     }
6. #endif
7.     fprintf(stderr, ""raising soft limit up to hard limit\n"");
8.     rl.rlim_cur = rl.rlim_max;
9.     if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {",Not Useful,1
/*on failure don't abort just issue a warning*/,"-10.    * point the resulting soft limit is our limit. Trying to
-9.    * open more than soft limit file descriptors will fail.
-8.    */
-7.   if(rl.rlim_cur != rl.rlim_max) {
-6. #ifdef OPEN_MAX
-5.     if((rl.rlim_cur > 0) &&
-4.         (rl.rlim_cur < OPEN_MAX)) {
-3.       fprintf(stderr, ""raising soft limit up to OPEN_MAX\n"");
-2.       rl.rlim_cur = OPEN_MAX;
-1.       if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {

/*on failure don't abort just issue a warning*/

1.         store_errmsg(""setrlimit() failed"", errno);
2.         fprintf(stderr, ""%s\n"", msgbuff);
3.         msgbuff[0] = '\0';
4.       }
5.     }
6. #endif
7.     fprintf(stderr, ""raising soft limit up to hard limit\n"");
8.     rl.rlim_cur = rl.rlim_max;
9.     if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {",Not Useful,0
